acc_file,gyr_file,Line_Number
J1/J1 Smash ACC/hit_5.csv,J1/J1 Smash GYR/hit_5.csv,0
J1/J1 VD ACC/hit_19.csv,J1/J1 VD GYR/hit_19.csv,200
J1/J1 Smash ACC/hit_6.csv,J1/J1 Smash GYR/hit_6.csv,300
J1/J1 Smash ACC/hit_11.csv,J1/J1 Smash GYR/hit_11.csv,500
J1/J1 Smash ACC/hit_20.csv,J1/J1 Smash GYR/hit_20.csv,700
J1/J1 Smash ACC/hit_23.csv,J1/J1 Smash GYR/hit_23.csv,780
J1/J1 Reves ACC/hit_24.csv,J1/J1 Reves GYR/hit_24.csv,860
J1/J1 VD ACC/hit_17.csv,J1/J1 VD GYR/hit_17.csv,940
J1/J1 Dretes ACC/hit_6.csv,J1/J1 Dretes GYR/hit_6.csv,1060
J1/J1 Smash ACC/hit_12.csv,J1/J1 Smash GYR/hit_12.csv,1140
J1/J1 Smash ACC/hit_8.csv,J1/J1 Smash GYR/hit_8.csv,1340
J1/J1 Serve ACC/hit_0.csv,J1/J1 Serve GYR/hit_0.csv,1540
J1/J1 Dretes ACC/hit_23.csv,J1/J1 Dretes GYR/hit_23.csv,1640
J1/J1 Smash ACC/hit_1.csv,J1/J1 Smash GYR/hit_1.csv,1720
J1/J1 Dretes ACC/hit_10.csv,J1/J1 Dretes GYR/hit_10.csv,1920
J1/J1 VD ACC/hit_0.csv,J1/J1 VD GYR/hit_0.csv,2000
J1/J1 Serve ACC/hit_14.csv,J1/J1 Serve GYR/hit_14.csv,2120
J1/J1 Reves ACC/hit_26.csv,J1/J1 Reves GYR/hit_26.csv,2220
J1/J1 Dretes ACC/hit_21.csv,J1/J1 Dretes GYR/hit_21.csv,2300
J1/J1 Smash ACC/hit_9.csv,J1/J1 Smash GYR/hit_9.csv,2380
J1/J1 VR ACC/hit_7.csv,J1/J1 VR GYR/hit_7.csv,2555
J1/J1 Reves ACC/hit_0.csv,J1/J1 Reves GYR/hit_0.csv,2675
J1/J1 Reves ACC/hit_23.csv,J1/J1 Reves GYR/hit_23.csv,2755
J1/J1 Smash ACC/hit_10.csv,J1/J1 Smash GYR/hit_10.csv,2835
J1/J1 Dretes ACC/hit_16.csv,J1/J1 Dretes GYR/hit_16.csv,2957
J1/J1 Smash ACC/hit_3.csv,J1/J1 Smash GYR/hit_3.csv,3037
J1/J1 Smash ACC/hit_16.csv,J1/J1 Smash GYR/hit_16.csv,3237
J1/J1 VR ACC/hit_14.csv,J1/J1 VR GYR/hit_14.csv,3317
J1/J1 Dretes ACC/hit_7.csv,J1/J1 Dretes GYR/hit_7.csv,3437
J1/J1 VD ACC/hit_4.csv,J1/J1 VD GYR/hit_4.csv,3517
J1/J1 Dretes ACC/hit_17.csv,J1/J1 Dretes GYR/hit_17.csv,3637
J1/J1 VR ACC/hit_13.csv,J1/J1 VR GYR/hit_13.csv,3717
J1/J1 VR ACC/hit_5.csv,J1/J1 VR GYR/hit_5.csv,3837
J1/J1 Smash ACC/hit_4.csv,J1/J1 Smash GYR/hit_4.csv,3957
J1/J1 Smash ACC/hit_0.csv,J1/J1 Smash GYR/hit_0.csv,4157
J1/J1 Dretes ACC/hit_2.csv,J1/J1 Dretes GYR/hit_2.csv,4357
J1/J1 Reves ACC/hit_20.csv,J1/J1 Reves GYR/hit_20.csv,4437
J1/J1 Dretes ACC/hit_14.csv,J1/J1 Dretes GYR/hit_14.csv,4517
J1/J1 VR ACC/hit_1.csv,J1/J1 VR GYR/hit_1.csv,4597
J1/J1 Dretes ACC/hit_4.csv,J1/J1 Dretes GYR/hit_4.csv,4717
J1/J1 Reves ACC/hit_5.csv,J1/J1 Reves GYR/hit_5.csv,4797
J1/J1 Serve ACC/hit_2.csv,J1/J1 Serve GYR/hit_2.csv,4877
J1/J1 Dretes ACC/hit_0.csv,J1/J1 Dretes GYR/hit_0.csv,4977
J1/J1 Reves ACC/hit_21.csv,J1/J1 Reves GYR/hit_21.csv,5057
J1/J1 Serve ACC/hit_1.csv,J1/J1 Serve GYR/hit_1.csv,5137
J1/J1 Serve ACC/hit_7.csv,J1/J1 Serve GYR/hit_7.csv,5237
J1/J1 Smash ACC/hit_21.csv,J1/J1 Smash GYR/hit_21.csv,5337
J1/J1 Serve ACC/hit_5.csv,J1/J1 Serve GYR/hit_5.csv,5417
J1/J1 Dretes ACC/hit_26.csv,J1/J1 Dretes GYR/hit_26.csv,5517
J1/J1 Reves ACC/hit_13.csv,J1/J1 Reves GYR/hit_13.csv,5597
J1/J1 VR ACC/hit_0.csv,J1/J1 VR GYR/hit_0.csv,5677
J1/J1 Dretes ACC/hit_18.csv,J1/J1 Dretes GYR/hit_18.csv,5797
J1/J1 Reves ACC/hit_19.csv,J1/J1 Reves GYR/hit_19.csv,5877
J1/J1 Serve ACC/hit_9.csv,J1/J1 Serve GYR/hit_9.csv,5957
J1/J1 Dretes ACC/hit_3.csv,J1/J1 Dretes GYR/hit_3.csv,6057
J1/J1 Dretes ACC/hit_27.csv,J1/J1 Dretes GYR/hit_27.csv,6137
